company,year,event_date,date_type,source
Escorts Kubota,FY2022-23,2023-06-22,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ESCORTS; NSE fy 2022-2023; submissionDate 22-Jun-2023; https://nsearchives.nseindia.com/corporate/null
Escorts Kubota,FY2023-24,2024-06-25,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ESCORTS; NSE fy 2023-2024; submissionDate 25-Jun-2024; https://nsearchives.nseindia.com/corporate/ESCORTS_25062024224323_EKL_2024_06_25_BRSR_Signed.pdf
Federal Bank,FY2022-23,2023-07-29,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol FEDERALBNK; NSE fy 2022-2023; submissionDate 29-Jul-2023; https://nsearchives.nseindia.com/corporate/FEDERALBNK_29072023151828_FBL_BRSR_final_SE_2907.pdf
Federal Bank,FY2023-24,2024-08-10,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol FEDERALBNK; NSE fy 2023-2024; submissionDate 10-Aug-2024; https://nsearchives.nseindia.com/corporate/FEDERALBNK_10082024142220_BRSR.pdf
Godrej Consumer,FY2022-23,2023-07-14,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol GODREJCP; NSE fy 2022-2023; submissionDate 14-Jul-2023; https://nsearchives.nseindia.com/corporate/null
Godrej Consumer,FY2023-24,2024-07-16,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol GODREJCP; NSE fy 2023-2024; submissionDate 16-Jul-2024; https://nsearchives.nseindia.com/corporate/GODREJCP_16072024223237_GCPL_BRSR_Signed.pdf
Grasim Industries,FY2022-23,2023-07-24,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol GRASIM; NSE fy 2022-2023; submissionDate 24-Jul-2023; https://nsearchives.nseindia.com/corporate/GRASIM_24072023223754_BRSRGrasim2023.pdf
Grasim Industries,FY2023-24,2024-07-19,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol GRASIM; NSE fy 2023-2024; submissionDate 19-Jul-2024; https://nsearchives.nseindia.com/corporate/GRASIM_19072024190311_SEIntimationBRSR.pdf
HCL Technologies,FY2022-23,2023-08-02,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol HCLTECH; NSE fy 2022-2023; submissionDate 02-Aug-2023; https://nsearchives.nseindia.com/corporate/HCLTECH_02082023220044_BRSRnse.pdf
HCL Technologies,FY2023-24,2024-07-23,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol HCLTECH; NSE fy 2023-2024; submissionDate 23-Jul-2024; https://nsearchives.nseindia.com/corporate/HCLTECH_23072024150013_BRSR.pdf
HDFC Bank,FY2022-23,2023-07-19,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol HDFCBANK; NSE fy 2022-2023; submissionDate 19-Jul-2023; https://nsearchives.nseindia.com/corporate/HDFCBANK_19072023144457_SEintimation_Reg34.pdf
HDFC Bank,FY2023-24,2024-07-18,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol HDFCBANK; NSE fy 2023-2024; submissionDate 18-Jul-2024; https://nsearchives.nseindia.com/corporate/HDFCBANK_18072024185316_Intimation_AR.pdf
HDFC Life,FY2022-23,2023-09-11,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol HDFCLIFE; NSE fy 2022-2023; submissionDate 11-Sep-2023; https://nsearchives.nseindia.com/corporate/PRASAD_11092023181114_BRSR.pdf
HDFC Life,FY2023-24,2024-09-05,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol HDFCLIFE; NSE fy 2023-2024; submissionDate 05-Sep-2024; https://nsearchives.nseindia.com/corporate/PRASAD_05092024222450_BRSR24.pdf
Havells,FY2022-23,2023-07-21,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol HAVELLS; NSE fy 2022-2023; submissionDate 21-Jul-2023; https://nsearchives.nseindia.com/corporate/HAVELLS1_21072023180212_IntegratedReport_inclBRSR.pdf
Havells,FY2023-24,2024-05-31,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol HAVELLS; NSE fy 2023-2024; submissionDate 31-May-2024; https://nsearchives.nseindia.com/corporate/HAVELLS1_31052024132836_CoverLetter_Notice_IR_BRSR_BRSRCore_29052024.pdf
Hero MotoCorp,FY2022-23,2023-07-17,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol HEROMOTOCO; NSE fy 2022-2023; submissionDate 17-Jul-2023; https://nsearchives.nseindia.com/corporate/HEROMOTO_17072023195718_BRSR202223.pdf
Hero MotoCorp,FY2023-24,2024-07-19,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol HEROMOTOCO; NSE fy 2023-2024; submissionDate 19-Jul-2024; https://nsearchives.nseindia.com/corporate/HEROMOTO_19072024201848_StxintimationBRSR19072024.pdf
Hindalco Industries,FY2022-23,2023-07-28,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol HINDALCO; NSE fy 2022-2023; submissionDate 28-Jul-2023; https://nsearchives.nseindia.com/corporate/HINDALCO_28072023224522_BRSR_PDF_280723.pdf
Hindalco Industries,FY2023-24,2024-07-29,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol HINDALCO; NSE fy 2023-2024; submissionDate 29-Jul-2024; https://nsearchives.nseindia.com/corporate/HINDALCO_29072024213210_Reg34_BRSR_Signed.pdf
Hindustan Unilever,FY2022-23,2023-07-25,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol HINDUNILVR; NSE fy 2022-2023; submissionDate 25-Jul-2023; https://nsearchives.nseindia.com/corporate/HINDUNILVR_25072023212210_BRSRFY202223Clarification.pdf
Hindustan Unilever,FY2023-24,2024-06-27,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol HINDUNILVR; NSE fy 2023-2024; submissionDate 27-Jun-2024; https://nsearchives.nseindia.com/corporate/HINDUNILVR_27062024112811_HULBRSR202324Signed.pdf
ICICI Bank,FY2022-23,2023-08-02,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ICICIBANK; NSE fy 2022-2023; submissionDate 02-Aug-2023; https://nsearchives.nseindia.com/corporate/ICICI2022_02082023163600_NSEBSE2023.pdf
ICICI Bank,FY2023-24,2024-08-05,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ICICIBANK; NSE fy 2023-2024; submissionDate 05-Aug-2024; https://nsearchives.nseindia.com/corporate/ICICIBANK11_05082024231444_NSEBSE.pdf
ICICI Lombard,FY2022-23,2023-06-28,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ICICIGI; NSE fy 2022-2023; submissionDate 28-Jun-2023; https://nsearchives.nseindia.com/corporate/null
ICICI Lombard,FY2023-24,2024-06-03,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ICICIGI; NSE fy 2023-2024; submissionDate 03-Jun-2024; https://nsearchives.nseindia.com/corporate/ICICIGI_03062024171526_SEBRSRFY2024.pdf
IDFC First Bank,FY2022-23,2023-08-10,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol IDFCFIRSTB; NSE fy 2022-2023; submissionDate 10-Aug-2023; https://nsearchives.nseindia.com/corporate/IDFCFIRSTB_10082023120402_SE_Intimation_BRSR.pdf
