company,year,event_date,GDS,AR_0,CAR_m1_p1,CAR_0_p1,CAR_0_p5,CAR_m5_p5,CAR_m5_p20,log_mcap,leverage,sector
Asian Paints,FY2023-24,2024-05-31,-1.389692,-0.0020536766178717307,-0.027590848098664314,-0.030727361867096896,-0.0055558999915101045,0.009143832378243113,-0.0061938142416127,28.63517,0.082689,Consumer
Aurobindo Pharma,FY2022-23,2023-08-11,1.101035,-0.009618784956874306,-0.0038826442562995746,0.0006140587061177847,-0.02677224026610167,-0.001512787205353328,-0.04000900517777491,26.438894,0.13252,Pharma
Aurobindo Pharma,FY2023-24,2024-08-05,0.05624,0.004373752445340943,0.004971253515887921,-0.007991940230381987,0.014577512800844496,0.048449506761915596,0.058295239909275424,27.181511,0.147491,Pharma
Axis Bank,FY2022-23,2023-08-02,-0.629987,-0.004975297040099797,-0.004751055581958314,-0.010877457422910438,-0.01107937742149212,-0.025304095453710755,-0.0049670579592789145,28.60236,0.147606,Banking
Axis Bank,FY2023-24,2024-07-02,-0.798756,-0.004227195468298805,0.0001989328740628505,0.009820464027301842,0.009274275518253657,0.01980611249305918,-0.0933537503391822,28.804202,0.150305,Banking
BPCL,FY2022-23,2023-08-03,4.507206,0.00018307036850945735,-0.04054761152631133,-0.02566015168172742,-0.02280422682285977,-0.06719322127442584,-0.12901738223999631,27.320645,0.36875,Oil & Gas
BPCL,FY2023-24,2024-08-08,4.349341,-0.006111736541352636,-0.03667519027363779,-0.03549410468431947,-0.04709403954075096,-0.02161450016919036,0.006693908003502537,27.883259,0.269734,Oil & Gas
BSE Ltd,FY2022-23,2023-08-07,-2.595934,0.0035088829665717363,0.04175888116914629,0.02140102421941678,0.02917733426836678,0.10656756619402441,0.3947213006709335,24.7902,3e-06,Financial Services
BSE Ltd,FY2023-24,2024-06-20,-2.34716,-0.03538896758077949,-0.07877520613246808,-0.06766215896171156,-0.10722504677911825,-0.14023607218456255,-0.3628400074444932,26.553955,2e-06,Financial Services
Bajaj Auto,FY2022-23,2023-07-04,-1.057884,0.001792979401493351,0.03556970114800656,0.0570775815314726,0.059805431598465617,0.03493450693962259,0.01633067705074825,27.725621,0.0,Auto
Bajaj Auto,FY2023-24,2024-06-21,-0.999681,-0.003923271224184402,-0.002301586678347751,0.007416739748270636,-0.03310105467720671,-0.08026942565814622,-0.13293571225380416,28.568673,0.045367,Auto
Bajaj Finance,FY2022-23,2023-07-05,-1.17873,-0.00636584765808533,0.045685236398606666,-0.023659737417909235,-0.06466942154774954,0.013221415237607344,-0.03976592547591813,28.85329,0.59757,FinServ
Bajaj Finance,FY2023-24,2024-06-27,-0.809074,-0.0018475283470024823,0.001351484385047762,-0.008840045414820785,-0.019440337132130198,-0.03323004737705053,-0.07705168054479918,29.130113,0.581349,FinServ
Bajaj Finserv,FY2022-23,2023-07-10,-0.437413,-0.009501805043763283,-0.012763208591836963,-0.02047938791384473,-0.026870676602604456,0.019752183977353024,-0.04860827156636356,28.331499,0.413306,Financial Services
Bajaj Finserv,FY2023-24,2024-06-28,-1.235476,-0.009346531430400429,-0.02118198737209137,-0.019931797636734083,-0.02675896816900336,-0.02075005006220439,0.0008632468204944378,28.594389,0.4253,Financial Services
Bank of Baroda,FY2022-23,2023-06-14,1.243693,-0.004261467914915034,-0.037454855863239475,-0.02500846235596431,0.02778921852911728,0.012565468601034963,-0.05398364629209884,27.495413,0.069128,Banking
Bank of Baroda,FY2023-24,2024-06-11,0.180895,-0.008408527738863202,0.03410577452446267,0.016074446545052197,0.0020892163119757678,-0.05693970026685113,-0.20032989696992168,27.94254,0.056255,Banking
Bharti Airtel,FY2022-23,2023-08-03,0.961298,-0.004678604292156969,0.002026860923602193,0.010660355950299374,-0.010804807590623975,-0.022596431582874922,-0.047953064017791105,29.12783,0.506054,Telecom
Bharti Airtel,FY2023-24,2024-07-30,-0.506235,-0.009916075897419076,-0.025392970268379278,0.0006678246540886713,-0.0016197272111415188,-0.009045528966028654,0.013965865275823757,29.636005,0.484988,Telecom
Biocon,FY2022-23,2023-08-09,1.726606,-0.012177673926960208,0.0069657683802082995,-0.03985576627507748,-0.0487537574204477,0.030579396769913187,0.07419837811131602,26.230138,0.34623,Pharma
Biocon,FY2023-24,2024-07-18,1.225546,-0.028957967306680658,-0.04724241121068549,-0.03178385665872836,0.04326450398625391,0.01040703021572853,-0.05112490883339912,26.479438,0.290289,Pharma
Bosch India,FY2022-23,2023-07-10,0.01794,-0.025566959904673125,-0.010107924306103732,-0.027900458277863364,-0.05891906285604861,-0.0328529975602562,-0.08695100610712318,27.071161,0.003273,Auto
Bosch India,FY2023-24,2024-07-10,-0.361584,-0.005331310940075675,0.02968435068485643,-0.001233603877502698,-0.025267585954754236,-0.014163969434948583,-0.11975531112998894,27.509681,0.002265,Auto
Britannia,FY2022-23,2023-08-03,0.021487,-0.0010619486369585697,-0.002955662901681553,-0.004866666712771398,-0.06438533486743955,-0.10131973455890242,-0.1303773214578071,27.671269,0.321577,FMCG
Britannia,FY2023-24,2024-07-19,-0.828989,0.005087517638903447,0.0072610140913421245,0.005762484433574756,-0.00048347924308744577,0.016916343070265277,-0.0049014873725419,27.799045,0.228646,FMCG
