company,ticker,year,market_cap,log_market_cap,total_debt,total_assets,leverage,source_year
LTIMindtree,540005.BO,FY2023-24,1461145161717.96,28.010242,20706000000.0,275630000000.0,0.075122,mcap=2024-03-28;bs=2024-03-31
LTTS,LTTS.NS,FY2022-23,356802393310.75,26.600448,4542000000.0,81976000000.0,0.055406,mcap=2023-03-31;bs=2023-03-31
LTTS,LTTS.NS,FY2023-24,579811291513.78,27.085969,6588000000.0,84885000000.0,0.077611,mcap=2024-03-28;bs=2024-03-31
Larsen & Toubro,LT.NS,FY2022-23,3041744486970.94,28.743452,1206504400000.0,3303523100000.0,0.365217,mcap=2023-03-31;bs=2023-03-31
Larsen & Toubro,LT.NS,FY2023-24,5174115080809.12,29.274689,1163222200000.0,3401359700000.0,0.341987,mcap=2024-03-28;bs=2024-03-31
Lupin,LUPIN.NS,FY2022-23,295009908721.94,26.410275,45415200000.0,229559300000.0,0.197836,mcap=2023-03-31;bs=2023-03-31
Lupin,LUPIN.NS,FY2023-24,736741680704.35,27.325503,29217700000.0,239971800000.0,0.121755,mcap=2024-03-28;bs=2024-03-31
Mahindra & Mahindra,M&M.NS,FY2022-23,1440876795760.52,27.996273,922468500000.0,2058917700000.0,0.448036,mcap=2023-03-31;bs=2023-03-31
Mahindra & Mahindra,M&M.NS,FY2023-24,2141874402315.99,28.392702,1066255200000.0,2363007300000.0,0.451228,mcap=2024-03-28;bs=2024-03-31
Marico,MARICO.NS,FY2022-23,619842857189.81,27.152732,6080000000.0,69460000000.0,0.087532,mcap=2023-03-31;bs=2023-03-31
Marico,MARICO.NS,FY2023-24,642735993096.57,27.189,5280000000.0,74210000000.0,0.071149,mcap=2024-03-28;bs=2024-03-31
Maruti Suzuki,MARUTI.NS,FY2022-23,2504893287529.02,28.549267,12476000000.0,1003854000000.0,0.012428,mcap=2023-03-31;bs=2023-03-31
Maruti Suzuki,MARUTI.NS,FY2023-24,3961582350487.39,29.007665,1186000000.0,1153508000000.0,0.001028,mcap=2024-03-28;bs=2024-03-31
Mphasis,MPHASIS.NS,FY2022-23,338314851927.25,26.547243,10527660000.0,116094590000.0,0.090682,mcap=2023-03-31;bs=2023-03-31
Mphasis,MPHASIS.NS,FY2023-24,451282897077.17,26.83536,23885850000.0,141302380000.0,0.169041,mcap=2024-03-28;bs=2024-03-31
Muthoot Finance,MUTHOOTFIN.NS,FY2022-23,393399198868.94,26.698091,555061320000.0,801489200000.0,0.692537,mcap=2023-03-31;bs=2023-03-31
Muthoot Finance,MUTHOOTFIN.NS,FY2023-24,594343918631.58,27.110724,677418380000.0,964699400000.0,0.702207,mcap=2024-03-28;bs=2024-03-31
NALCO,NATIONALUM.NS,FY2022-23,143991934903.28,25.693023,1046100000.0,176266100000.0,0.005935,mcap=2023-03-31;bs=2023-03-31
NALCO,NATIONALUM.NS,FY2023-24,280178184711.81,26.358692,963800000.0,192350300000.0,0.005011,mcap=2024-03-28;bs=2024-03-31
NMDC,NMDC.NS,FY2022-23,326909091511.0,26.512948,21278700000.0,299529200000.0,0.07104,mcap=2023-03-31;bs=2023-03-31
NMDC,NMDC.NS,FY2023-24,591249730237.5,27.105504,33587800000.0,356610300000.0,0.094186,mcap=2024-03-28;bs=2024-03-31
NTPC,NTPC.NS,FY2022-23,1697886299247.15,28.160405,2229131600000.0,4479132500000.0,0.49767,mcap=2023-03-31;bs=2023-03-31
NTPC,NTPC.NS,FY2023-24,3256140369429.69,28.811564,2371309800000.0,4801965700000.0,0.493821,mcap=2024-03-28;bs=2024-03-31
Nestle India,NESTLEIND.NS,FY2022-23,1890326504357.01,28.267771,2705200000.0,89787400000.0,0.030129,mcap=2022-12-30;bs=2022-12-31
